id,created_at,proximity,distance,description,beacon_id,actual,rssi
5028,2024-05-22 07:14:29+00,Near,0.31,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-51
5029,2024-05-22 07:14:30+00,Near,0.33,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-51
5030,2024-05-22 07:14:31+00,Near,0.35,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-51
5031,2024-05-22 07:14:32+00,Near,0.33,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-50
5032,2024-05-22 07:14:33+00,Immediate,0.26,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5033,2024-05-22 07:14:34+00,Immediate,0.23,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5034,2024-05-22 07:14:35+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5035,2024-05-22 07:14:36+00,Near,0.25,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-49
5036,2024-05-22 07:14:37+00,Immediate,0.23,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5037,2024-05-22 07:14:38+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-45
5038,2024-05-22 07:14:39+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5039,2024-05-22 07:14:40+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5040,2024-05-22 07:14:41+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5041,2024-05-22 07:14:42+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5042,2024-05-22 07:14:43+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5043,2024-05-22 07:14:44+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5044,2024-05-22 07:14:45+00,Near,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5045,2024-05-22 07:14:46+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5046,2024-05-22 07:14:47+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
5047,2024-05-22 07:14:48+00,Near,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5048,2024-05-22 07:14:49+00,Near,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5049,2024-05-22 07:14:50+00,Near,0.25,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-49
5050,2024-05-22 07:14:51+00,Near,0.23,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5051,2024-05-22 07:14:52+00,Near,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5052,2024-05-22 07:14:53+00,Near,0.23,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-48
5053,2024-05-22 07:14:54+00,Near,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-47
5054,2024-05-22 07:14:55+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,1,-46
